config_id,cost_multiplier,trades,gross_pnl,net_pnl,total_return,sharpe
PT7_SL6,1.0,54,-9367.5,-14651.86,-0.0147,-8.9958
PT7_SL6,0.5,54,-9367.5,-12009.67,-0.012,-7.3594
PT7_SL6,0.0,54,-9367.5,-9367.5,-0.0094,-5.729
PT3_SL6,1.0,54,-7890.0,-13176.03,-0.0132,-9.1132
PT3_SL6,0.5,54,-7890.0,-10532.99,-0.0105,-7.2756
PT3_SL6,0.0,54,-7890.0,-7890.0,-0.0079,-5.4424
PT3_SL8,1.0,54,-8703.75,-13988.86,-0.014,-9.1355
PT3_SL8,0.5,54,-8703.75,-11346.29,-0.0113,-7.4004
PT3_SL8,0.0,54,-8703.75,-8703.75,-0.0087,-5.6694
PT7_SL8,1.0,96,-19422.5,-28921.55,-0.0289,-9.186
PT7_SL8,0.5,96,-19422.5,-24172.03,-0.0242,-7.669
PT7_SL8,0.0,96,-19422.5,-19422.5,-0.0194,-6.1551
PT7_SL4,1.0,54,-9103.75,-14388.44,-0.0144,-9.1892
PT7_SL4,0.5,54,-9103.75,-11746.07,-0.0117,-7.4904
PT7_SL4,0.0,54,-9103.75,-9103.75,-0.0091,-5.7965
