window_start,window_end,trades,total_return,sharpe,profit_factor
2024-08,2025-01,20,-0.0038,-4.2796,0.5261
2024-09,2025-02,21,-0.0038,-4.2125,0.5243
2024-10,2025-03,22,-0.0041,-4.3732,0.5083
2024-11,2025-04,18,-0.0038,-5.4357,0.4315
2024-12,2025-05,19,-0.0047,-6.3217,0.3818
2025-01,2025-06,14,-0.0047,-11.4928,0.1737
2025-02,2025-07,9,-0.003,-18.3921,0.0296
2025-03,2025-08,11,-0.004,-22.5845,0.0223
2025-04,2025-09,12,-0.0035,-15.6817,0.0955
2025-05,2025-10,15,-0.0043,-14.9018,0.1186
2025-06,2025-11,18,-0.0053,-17.259,0.0976
2025-07,2025-12,20,-0.0063,-15.7897,0.1026
2025-08,2026-01,24,-0.0078,-18.3674,0.074
2025-09,2026-02,21,-0.0066,-16.5153,0.0866
